report,type,option,args
domain,domain_shopping_shopping,display_limit,
domain,domain_shopping_shopping,export_columns,Dn;Cr;Np;Sh;Ad;At;Ac;Or
domain,domain_shopping_shopping,required,domain;database
domain,domain_shopping_shopping,description,This report lists domains a queried domain is competing against in Google's paid search results with product listing ads.
domain,domain_organic_unique,domain,
domain,domain_organic_unique,database,
domain,domain_organic_unique,display_limit,
domain,domain_organic_unique,export_columns,Ur;Pc;Tg;Tr
domain,domain_organic_unique,required,domain;database
domain,domain_organic_unique,description,This report shows unique pages of the analyzed domain ranking in Google's top 100 results organic search results
domain,domain_organic_subdomains,domain,
domain,domain_organic_subdomains,database,
domain,domain_organic_subdomains,display_limit,
domain,domain_organic_subdomains,export_columns,Ur;Pc;Tg;Tr
domain,domain_organic_subdomains,required,domain;database
domain,domain_organic_subdomains,description,This report shows subdomains of the analyzed domain ranking in Google's top 100 organic search results
backlinks,backlinks_overview,target,
backlinks,backlinks_overview,target_type,
backlinks,backlinks_overview,export_columns,ascore;total;domains_num;urls_num;ips_num;ipclassc_num;follows_num;nofollows_num;sponsored_num;ugc_num;texts_num;images_num;forms_num;frames_num
backlinks,backlinks_overview,required,target;target_type
backlinks,backlinks_overview,description,"This report provides a summary of backlinks, including their type, referring domains and IP addresses for a domain, root domain, or URL."
backlinks,backlinks,target,
backlinks,backlinks,target_type,
backlinks,backlinks,display_limit,
backlinks,backlinks,export_columns,page_ascore;response_code;source_size;external_num;internal_num;redirect_url;source_url;source_title;image_url;target_url;target_title;anchor;image_alt;last_seen;first_seen;nofollow;form;frame;image;sitewide;newlink;lostlink
backlinks,backlinks,required,target;target_type
backlinks,backlinks,description,"This report lists backlinks for a domain, root domain, or URL."
backlinks,backlinks_refdomains,target,
backlinks,backlinks_refdomains,target_type,
backlinks,backlinks_refdomains,display_limit,
backlinks,backlinks_refdomains,export_columns,domain_ascore;domain;backlinks_num;ip;country;first_seen;last_seen
backlinks,backlinks_refdomains,required,target;target_type
